road,modal_class,segments,length_m,mean_lanes,mean_speed_mph,oneway_share,transit_share,max_transit_routes,commercial_share,junction_share,unpaved_share,class_pts,lane_pts,speed_pts,oneway_pts,transit_pts,commercial_pts,junction_pts,surface_pts,score,category,min_segment_score,max_segment_score,score_std,dominant_category,category_consistency,classification_margin,margin_label,lanes_imputed_share,speed_imputed_share,data_completeness
Eastern Distributor Onramp,motorway_link,5,1223,1.0,33,1.0,0.25,6,1.0,0.1,0.0,32.0,0.0,3.06,0.0,1.76,4.27,0.3,0.0,41.4,High,36.0,55.9,8.6,Moderate,0.6,3.4,moderate,0.0,0.14,0.93
Elizabeth Street,secondary,97,6326,3.5,28,0.43,0.84,33,0.94,0.42,0.0,18.05,10.06,1.16,0.75,5.31,4.72,1.25,0.0,41.3,High,10.0,65.0,13.3,High,0.88,3.3,moderate,0.11,0.01,0.94
Foveaux Street,secondary,6,724,3.0,25,1.0,1.0,1,1.0,0.81,0.0,22.0,8.0,0.0,2.0,3.0,3.88,2.42,0.0,41.3,High,38.0,43.0,1.7,High,0.83,3.3,moderate,0.0,0.0,1.0
William Henry Street,secondary,3,300,3.3,30,0.0,0.0,0,1.0,1.0,0.0,22.0,9.04,2.07,0.0,0.0,5.0,3.0,0.0,41.1,High,36.0,44.4,3.9,High,0.67,3.1,moderate,0.37,0.84,0.4
King Street,trunk,72,5590,2.8,26,0.37,0.62,19,1.0,0.18,0.0,23.83,7.04,0.47,0.26,3.99,4.92,0.53,0.0,41.0,High,10.0,64.4,17.2,High,0.72,3.0,moderate,0.26,0.21,0.77
Warringah Freeway Onramp,motorway_link,11,1417,1.3,35,1.0,0.01,16,0.83,0.02,0.0,32.0,1.12,4.06,0.0,0.05,3.74,0.07,0.0,41.0,High,36.0,56.9,5.4,High,0.82,3.0,moderate,0.0,0.93,0.53
Allen Street Offramp,motorway_link,2,96,1.0,35,1.0,0.0,0,1.0,0.0,0.0,32.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,41.0,High,41.0,41.0,0.0,High,1.0,3.0,moderate,0.0,1.0,0.5
South Dowling Street Exit,motorway_link,1,355,1.0,35,1.0,0.0,0,1.0,0.0,0.0,32.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,41.0,High,41.0,41.0,0.0,High,1.0,3.0,moderate,0.0,1.0,0.5
Moore Park Road Offramp,motorway_link,3,408,1.0,37,1.0,0.0,0,1.0,0.0,0.0,32.0,0.0,4.91,0.0,0.0,4.0,0.0,0.0,40.9,High,40.9,40.9,0.0,High,1.0,2.9,moderate,0.0,0.0,1.0
Cahill Expressway Offramp,motorway_link,5,858,1.0,37,1.0,0.0,0,1.0,0.0,0.0,32.0,0.0,4.91,0.0,0.0,4.0,0.0,0.0,40.9,High,40.9,40.9,0.0,High,1.0,2.9,moderate,0.0,0.0,1.0
