road,modal_class,segments,mean_lanes,mean_speed_kmh,oneway_share,transit_share,commercial_share,junction_share,unpaved_share,lanes_imputed_share,speed_imputed_share,mean_segment_score,category,confidence
Fenchurch Street,tertiary,8,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,Moderate,high
Bloomsbury Place,tertiary,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,Moderate,high
Sidmouth Street,tertiary,10,2.0,32,0.0,0.0,1.0,0.0,0.0,0.5,0.0,23.0,Moderate,medium
Gresham Street,tertiary,13,2.0,32,0.0,0.0,1.0,0.0,0.0,0.15,0.0,23.0,Moderate,medium
Golden Lane,tertiary,4,2.0,32,0.0,0.0,1.0,0.0,0.0,0.5,0.0,23.0,Moderate,medium
Carthusian Street,tertiary,2,2.0,32,0.0,0.0,1.0,0.0,0.0,0.5,0.0,23.0,Moderate,medium
Whitmore Road,tertiary,4,2.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,23.0,Moderate,medium
Parkhill Road,tertiary,1,2.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,23.0,Moderate,medium
Cranley Gardens,tertiary,2,2.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,23.0,Moderate,medium
Lots Road,tertiary,2,2.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,23.0,Moderate,medium
Laburnum Street,tertiary,2,2.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,23.0,Moderate,medium
Tyburn Way,unclassified,1,2.0,32,1.0,1.0,1.0,0.0,0.0,0.0,0.0,23.0,Moderate,high
Brewery Road,tertiary,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,Moderate,high
Commercial Way,tertiary,2,2.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,23.0,Moderate,medium
South Audley Square,tertiary,1,2.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,23.0,Moderate,medium
William IV Street,residential,4,1.5,32,0.5,0.0,1.0,0.5,0.0,1.0,0.0,23.0,Moderate,medium
Abercorn Place,tertiary,1,2.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,23.0,Moderate,medium
Allsop Place,tertiary,5,1.6,32,0.4,0.0,1.0,0.2,0.0,0.0,0.0,22.8,Moderate,high
The Mall,tertiary,31,2.5,32,0.68,0.0,0.26,0.13,0.0,0.68,0.0,22.8,Moderate,medium
Loudoun Road,tertiary,11,2.0,32,0.27,0.0,0.64,0.36,0.0,0.91,0.0,22.8,Moderate,medium
Grosvenor Square,tertiary,11,1.7,33,1.0,0.0,1.0,0.18,0.0,0.73,0.09,22.7,Moderate,medium
Goldhurst Terrace,tertiary,3,1.3,32,1.0,0.33,1.0,0.67,0.0,0.67,0.0,22.7,Moderate,medium
Torrington Place,tertiary,26,1.2,32,1.0,0.0,1.0,0.23,0.0,0.23,0.0,22.6,Moderate,medium
Shelton Street,tertiary,8,1.2,32,1.0,0.0,1.0,0.5,0.0,0.25,0.0,22.5,Moderate,medium
Albert Terrace,tertiary,4,1.5,32,1.0,0.75,0.0,0.0,0.0,0.0,0.0,22.5,Moderate,high
Wardour Street,tertiary,8,1.5,32,0.88,0.0,1.0,0.25,0.0,0.38,0.0,22.4,Moderate,medium
Elizabeth Street,residential,8,2.1,32,0.62,1.0,1.0,0.62,0.0,0.12,0.0,22.4,Moderate,medium
Theberton Street,tertiary,5,1.6,32,0.4,0.0,1.0,0.0,0.0,0.0,0.0,22.2,Moderate,high
Islington Park Street,tertiary,6,1.3,32,0.67,0.0,1.0,0.17,0.0,0.33,0.0,22.2,Moderate,medium
Castlehaven Road,residential,12,1.3,32,0.33,0.33,1.0,0.17,0.0,1.0,0.0,22.2,Moderate,medium
The Cut,residential,9,1.9,32,0.44,0.11,1.0,0.78,0.0,0.11,0.0,22.1,Moderate,medium
Tavistock Place,tertiary,21,1.2,32,0.9,0.0,1.0,0.14,0.0,0.14,0.0,22.0,Moderate,medium
King Street,tertiary,9,1.8,32,0.89,0.0,1.0,0.11,0.0,1.0,0.0,22.0,Moderate,medium
Rosoman Street,residential,2,1.5,32,0.5,0.0,1.0,0.5,0.0,1.0,0.0,22.0,Moderate,medium
Tysoe Street,residential,4,1.5,32,0.0,0.0,1.0,0.5,0.0,1.0,0.0,22.0,Moderate,medium
Hanover Street,tertiary,6,1.0,32,1.0,0.0,1.0,0.33,0.0,0.0,0.0,22.0,Moderate,high
Grosvenor Gate,tertiary,3,2.0,32,1.0,0.0,0.0,0.67,0.0,0.0,0.0,22.0,Moderate,high
Boleyn Road,tertiary,2,1.5,32,0.5,0.0,1.0,0.0,0.0,0.0,0.0,22.0,Moderate,high
Boundary Road,tertiary,7,1.7,31,0.57,0.0,1.0,0.57,0.0,0.57,0.29,21.9,Moderate,low
Chesham Place,residential,10,1.5,32,0.3,0.0,1.0,0.3,0.0,0.2,0.0,21.8,Moderate,medium
George Street,tertiary,33,1.8,32,0.27,0.0,1.0,0.21,0.0,0.91,0.0,21.7,Moderate,medium
Rodney Place,tertiary,3,1.3,32,0.67,0.0,1.0,0.0,0.0,0.0,0.0,21.7,Moderate,high
Terminus Place,unclassified,7,1.4,25,0.57,1.0,1.0,0.29,0.0,0.86,0.29,21.6,Moderate,low
Hyde Park Street,tertiary,5,1.8,34,0.6,0.0,1.0,0.0,0.0,0.4,0.2,21.6,Moderate,low
Cloudesley Place,tertiary,2,1.0,32,0.5,0.0,1.0,0.5,0.0,0.0,0.0,21.5,Moderate,high
Wall Street,residential,4,3.5,32,0.0,0.0,1.0,0.0,0.0,0.25,0.25,21.5,Moderate,low
South Lambeth Place,unclassified,11,1.5,32,0.82,1.0,1.0,0.18,0.0,0.0,0.0,21.4,Moderate,high
Falkirk Street,unclassified,3,1.3,32,0.0,1.0,1.0,0.33,0.0,0.67,0.0,21.3,Moderate,medium
Great Central Street,unclassified,4,1.8,34,0.5,0.75,1.0,0.25,0.0,0.25,0.25,21.2,Moderate,low
Tolpuddle Street,unclassified,18,1.5,32,0.0,1.0,1.0,0.06,0.0,0.5,0.0,21.2,Moderate,medium
Waterloo Place,residential,4,1.0,32,1.0,0.25,0.5,1.0,0.0,0.5,0.0,21.0,Moderate,medium
Landor Road,unclassified,2,1.5,32,0.0,1.0,1.0,0.0,0.0,0.5,0.0,21.0,Moderate,medium
Goods Way,tertiary,19,1.1,32,0.68,0.0,1.0,0.05,0.0,0.05,0.0,20.9,Moderate,medium
Stockwell Green,unclassified,4,1.2,32,0.25,1.0,1.0,0.25,0.0,0.75,0.0,20.8,Moderate,medium
John Prince's Street,unclassified,5,1.4,32,1.0,1.0,1.0,0.0,0.0,0.6,0.0,20.6,Moderate,medium
London Street,tertiary,8,1.1,32,0.88,0.0,1.0,0.0,0.0,0.0,0.0,20.5,Moderate,high
De Beauvoir Road,tertiary,6,1.7,32,0.17,0.0,1.0,0.5,0.0,1.0,0.0,20.5,Moderate,medium
Frederick Crescent,residential,2,1.5,32,0.5,0.5,1.0,0.0,0.0,1.0,0.0,20.5,Moderate,medium
Cleveland Street,tertiary,25,1.6,32,1.0,0.0,1.0,0.12,0.0,0.8,0.0,20.2,Moderate,medium
Lothbury,unclassified,8,1.8,32,0.25,0.0,1.0,0.38,0.0,0.0,0.0,20.1,Moderate,high
John's Mews,unclassified,2,2.0,32,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,Low,high
Serle Street,unclassified,1,2.0,32,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,Low,high
Primrose Street,unclassified,3,1.0,32,0.0,1.0,1.0,0.33,0.0,1.0,0.0,20.0,Low,medium
Balcombe Street,residential,3,2.0,32,0.0,0.33,1.0,1.0,0.0,0.0,0.0,20.0,Low,high
Donegal Street,unclassified,1,2.0,32,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,Low,high
Bremner Road,unclassified,1,2.0,32,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,Low,high
Sidney Road,unclassified,1,2.0,32,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,Low,high
Cartwright Gardens,unclassified,4,2.0,32,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,Low,high
New Globe Walk,unclassified,1,2.0,32,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,Low,high
Remnant Street,unclassified,1,2.0,32,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,Low,high
Torrens Street,unclassified,2,2.0,32,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,Low,high
Queens Road,unclassified,1,2.0,32,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,Low,high
Norfolk Place,residential,4,1.8,32,1.0,1.0,1.0,0.25,0.0,0.25,0.0,19.8,Low,medium
Devonshire Street,unclassified,13,1.5,32,0.31,0.46,1.0,0.69,0.0,0.46,0.0,19.7,Low,medium
Euston Grove,unclassified,9,1.0,18,1.0,1.0,1.0,0.22,0.0,0.67,0.0,19.7,Low,medium
Claremont Square,tertiary,7,2.0,32,0.0,0.0,1.0,0.14,0.0,0.0,0.0,19.6,Low,high
Semley Place,residential,8,2.0,32,0.38,0.88,1.0,0.12,0.0,0.38,0.0,19.6,Low,medium
Belsize Park,residential,2,1.5,32,0.5,0.5,1.0,0.0,0.0,0.5,0.0,19.5,Low,medium
Spur Road,tertiary,13,2.0,32,0.77,0.0,0.46,0.08,0.0,0.31,0.0,19.5,Low,medium
Railway Approach,unclassified,4,1.0,24,1.0,1.0,1.0,0.0,0.0,0.75,0.0,19.5,Low,medium
Brunswick Square,residential,6,1.7,32,0.0,0.0,1.0,0.0,0.0,0.33,0.0,19.3,Low,medium
Circus Road,residential,3,1.3,32,0.0,0.33,1.0,1.0,0.0,1.0,0.0,19.3,Low,medium
St George's Square,residential,5,1.4,32,0.2,0.2,1.0,0.4,0.0,0.6,0.0,19.2,Low,medium
London Bridge Street,unclassified,7,1.0,22,1.0,0.86,1.0,0.29,0.0,0.86,0.14,19.0,Low,low
Park Square East,unclassified,3,2.0,32,0.0,0.0,1.0,0.67,0.0,0.0,0.0,19.0,Low,high
Great Windmill Street,residential,2,1.5,32,1.0,0.0,1.0,0.5,0.0,0.0,0.0,19.0,Low,high
Ascalon Street,unclassified,1,1.0,40,0.0,1.0,1.0,0.0,0.0,1.0,1.0,19.0,Low,low
Bulleid Way,unclassified,4,1.0,32,1.0,1.0,1.0,0.0,0.0,1.0,0.0,19.0,Low,medium
Gordon Street,unclassified,4,1.8,32,0.25,0.0,1.0,1.0,0.0,0.25,0.0,19.0,Low,medium
Sabine Road,residential,2,1.0,32,0.0,1.0,1.0,1.0,0.0,0.0,0.0,19.0,Low,high
Carnation Way,unclassified,2,2.5,40,0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,Low,medium
Mount Street,tertiary,3,1.7,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,18.7,Low,medium
Robert Street,tertiary,3,1.7,32,0.33,0.0,1.0,0.0,0.0,0.67,0.0,18.7,Low,medium
Richmond Avenue,tertiary,11,1.5,32,0.82,0.0,1.0,0.18,0.0,1.0,0.0,18.7,Low,medium
Regent's Park Road,residential,17,1.6,33,0.41,0.29,0.94,0.35,0.0,0.41,0.18,18.6,Low,low
Wilson Street,unclassified,10,1.9,32,0.1,0.0,1.0,0.3,0.0,0.1,0.0,18.3,Low,medium
Davies Street,tertiary,7,1.6,32,0.0,0.0,1.0,0.29,0.0,0.71,0.0,18.3,Low,medium
Downham Road,tertiary,9,1.2,32,0.33,0.0,1.0,0.56,0.0,0.44,0.0,18.2,Low,medium
Binfield Road,unclassified,8,1.0,32,0.62,1.0,1.0,0.12,0.0,1.0,0.0,18.2,Low,medium
Bedford Square,residential,14,1.3,32,0.64,0.0,1.0,0.14,0.0,0.71,0.0,18.1,Low,medium
Brook Street,tertiary,13,1.6,32,0.69,0.0,1.0,0.31,0.0,0.62,0.0,18.1,Low,medium
Nuttall Street,tertiary,9,1.4,32,0.33,0.0,1.0,0.22,0.0,0.89,0.0,18.1,Low,medium
North Gower Street,unclassified,6,2.0,32,0.0,0.0,1.0,0.33,0.0,0.0,0.0,18.0,Low,high
Wallace Road,tertiary,2,2.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,Low,high
Daneville Road,residential,3,1.3,32,0.33,0.33,1.0,0.33,0.0,0.67,0.0,18.0,Low,medium
Frederica Street,unclassified,3,2.0,32,0.0,0.0,1.0,0.33,0.0,0.0,0.0,18.0,Low,high
Queensberry Place,residential,3,1.0,32,0.67,1.0,1.0,0.67,0.0,1.0,0.0,18.0,Low,medium
Lawrence Lane,unclassified,2,1.5,32,0.0,0.0,1.0,1.0,0.0,0.5,0.0,18.0,Low,medium
Berners Road,unclassified,6,2.0,32,0.0,0.0,1.0,0.33,0.0,0.0,0.0,18.0,Low,high
Stewarts Road,unclassified,3,1.0,40,0.0,0.67,1.0,0.33,0.0,1.0,1.0,18.0,Low,low
Bow Street,unclassified,3,2.0,32,0.0,0.0,1.0,0.33,0.0,0.0,0.0,18.0,Low,high
Prince Consort Road,residential,3,2.0,32,0.0,0.67,1.0,0.0,0.0,0.0,0.0,18.0,Low,high
Little Britain,residential,8,1.0,32,0.75,0.25,1.0,0.0,0.0,0.75,0.0,17.8,Low,medium
South Audley Street,tertiary,5,1.6,32,0.0,0.0,1.0,0.0,0.0,0.6,0.0,17.8,Low,medium
Handyside Street,unclassified,4,2.0,32,0.0,0.0,1.0,0.25,0.0,0.0,0.0,17.8,Low,high
Wellington Street,unclassified,3,1.7,32,0.0,0.0,1.0,1.0,0.0,0.33,0.0,17.7,Low,medium
Arundel Square,residential,5,1.4,32,0.0,0.4,1.0,0.0,0.0,0.6,0.0,17.6,Low,medium
Hemingford Road,residential,2,1.0,32,0.0,1.0,1.0,0.0,0.0,1.0,0.0,17.5,Low,medium
Portman Close,residential,2,1.0,32,0.0,1.0,1.0,0.5,0.0,1.0,0.0,17.5,Low,medium
Queens Gardens,tertiary,5,2.0,32,0.6,0.0,0.0,0.0,0.0,0.8,0.0,17.4,Low,medium
Park Square West,residential,7,1.7,31,0.71,0.0,1.0,0.43,0.0,0.43,0.29,17.4,Low,low
Threadneedle Street,unclassified,9,2.1,32,0.78,0.0,1.0,0.0,0.0,0.11,0.0,17.4,Low,medium
East Street,residential,10,1.0,33,0.4,0.4,1.0,0.8,0.0,0.9,0.3,17.3,Low,low
Harewood Avenue,unclassified,13,1.8,32,0.31,0.0,1.0,0.31,0.0,0.0,0.0,17.3,Low,high
Gloucester Gate,unclassified,5,2.2,32,0.0,0.0,1.0,0.0,0.0,0.2,0.0,17.2,Low,medium
Old Church Street,residential,6,1.5,32,0.33,0.0,0.83,0.5,0.0,0.17,0.0,17.2,Low,medium
Welbeck Street,residential,4,1.2,32,1.0,0.0,1.0,0.5,0.0,1.0,0.0,17.2,Low,medium
Churchway,residential,4,1.5,32,0.0,0.5,1.0,0.25,0.0,0.5,0.0,17.2,Low,medium
Bloomsbury Square,unclassified,8,1.6,32,0.0,0.12,0.88,0.0,0.0,0.12,0.0,17.1,Low,medium
Old Broad Street,unclassified,14,1.2,32,0.79,0.21,1.0,0.21,0.0,0.79,0.0,17.1,Low,medium
Blundell Street,unclassified,3,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Bartholomew Lane,unclassified,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Bolsover Street,unclassified,5,1.4,32,0.2,0.0,1.0,0.8,0.0,0.4,0.0,17.0,Low,medium
Newman's Row,unclassified,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Macclesfield Street,unclassified,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Elizabeth Bridge,residential,3,2.0,32,1.0,0.33,1.0,0.33,0.0,0.0,0.0,17.0,Low,high
Hudson's Place,unclassified,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Worship Street,unclassified,9,1.3,32,0.67,0.0,1.0,0.22,0.0,0.89,0.0,17.0,Low,medium
Silk Street,unclassified,4,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Milton Street,unclassified,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Bishop's Terrace,residential,2,2.0,32,0.0,0.0,1.0,1.0,0.0,0.0,0.0,17.0,Low,high
River Street,residential,1,2.0,32,0.0,0.0,1.0,1.0,0.0,0.0,0.0,17.0,Low,high
Middle Street,unclassified,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Newbury Street,unclassified,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Kinghorn Street,unclassified,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
America Street,unclassified,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Lincoln's Inn Fields,unclassified,4,1.2,32,0.75,0.0,1.0,1.0,0.0,0.25,0.0,17.0,Low,medium
Cynthia Street,unclassified,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Cumming Street,unclassified,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Prima Road,unclassified,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Underwood Row,unclassified,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Hankey Place,unclassified,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Dunston Street,unclassified,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Mary Street,residential,1,2.0,32,0.0,0.0,1.0,1.0,0.0,0.0,0.0,17.0,Low,high
Linton Street,residential,2,2.0,32,0.0,0.0,1.0,1.0,0.0,0.0,0.0,17.0,Low,high
Cadogan Lane,residential,2,2.0,32,0.0,0.0,1.0,1.0,0.0,0.0,0.0,17.0,Low,high
Milk Street,unclassified,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Cranmer Road,unclassified,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Battle Bridge Lane,unclassified,2,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Sutterton Street,unclassified,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Parkfield Street,unclassified,2,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Alford Place,unclassified,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Great Maze Pond,unclassified,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Eastlake Road,residential,1,2.0,32,0.0,0.0,1.0,1.0,0.0,0.0,0.0,17.0,Low,high
Mark Street,unclassified,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Vernon Rise,unclassified,2,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Alpha Close,residential,1,2.0,32,0.0,0.0,1.0,1.0,0.0,0.0,0.0,17.0,Low,high
Lloyds Row,unclassified,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Basing House Yard,unclassified,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Decima Street,unclassified,3,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Great Peter Street,residential,2,2.0,32,0.0,0.0,1.0,1.0,0.0,0.0,0.0,17.0,Low,high
Macclesfield Bridge,unclassified,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Gwynne Place,unclassified,3,2.0,40,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17.0,Low,medium
New Quebec Street,unclassified,1,2.0,32,1.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Old Cavendish Street,unclassified,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Great Cumberland Place,unclassified,2,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Rennie Street,unclassified,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Rolls Buildings,unclassified,1,2.0,40,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17.0,Low,medium
Canal Walk,unclassified,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Benyon Road,unclassified,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Cliff Road,unclassified,4,2.0,32,1.0,0.0,1.0,0.0,0.0,0.25,0.0,17.0,Low,medium
Huntingdon Street,unclassified,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Wilson Road,residential,1,2.0,32,0.0,0.0,1.0,1.0,0.0,0.0,0.0,17.0,Low,high
Euston Street,unclassified,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,Low,high
Circus Road West,unclassified,1,2.0,40,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17.0,Low,medium
Circus Road South,unclassified,3,2.0,40,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17.0,Low,medium
Crawford Street,unclassified,14,1.9,32,0.0,0.0,1.0,0.43,0.0,0.0,0.0,16.9,Low,high
Black Prince Road,residential,13,1.2,32,0.08,0.92,1.0,0.15,0.0,0.77,0.0,16.9,Low,medium
Eaton Square,residential,20,1.4,32,0.5,0.05,0.85,0.45,0.0,0.55,0.0,16.9,Low,medium
Ropemaker Street,unclassified,6,1.8,32,0.33,0.0,1.0,0.17,0.0,0.17,0.0,16.8,Low,medium
Melcombe Place,unclassified,9,1.1,32,0.89,0.33,1.0,0.44,0.0,0.89,0.0,16.8,Low,medium
Harley Road,residential,4,2.5,32,0.0,0.0,1.0,0.25,0.0,0.0,0.0,16.8,Low,high
Leigh Street,unclassified,3,1.7,32,0.0,0.0,1.0,0.33,0.0,0.33,0.0,16.7,Low,medium
Connaught Square,residential,9,1.4,32,0.67,0.0,1.0,0.22,0.0,1.0,0.0,16.7,Low,medium
Mepham Street,unclassified,5,1.0,32,1.0,0.6,1.0,0.0,0.0,1.0,0.0,16.6,Low,medium
Cadogan Gardens,residential,10,1.3,32,0.0,0.2,1.0,0.8,0.0,0.8,0.0,16.6,Low,medium
Eccleston Place,residential,4,1.5,32,0.25,0.75,1.0,0.0,0.0,0.5,0.0,16.5,Low,medium
Cabbell Street,residential,2,1.5,32,0.5,0.0,1.0,1.0,0.0,0.5,0.0,16.5,Low,medium
Great Castle Street,unclassified,4,1.5,32,1.0,0.0,1.0,0.5,0.0,0.5,0.0,16.5,Low,medium
Hastings Street,unclassified,5,1.4,32,0.4,0.0,1.0,0.6,0.0,0.6,0.0,16.4,Low,medium
Mornington Street,unclassified,5,1.8,32,0.0,0.0,0.8,0.4,0.0,0.2,0.0,16.4,Low,medium
Tanner Street,residential,11,1.1,35,0.91,0.18,1.0,0.0,0.0,0.91,0.0,16.4,Low,medium
Outer Circle,unclassified,62,1.7,32,0.24,0.0,0.98,0.15,0.0,0.19,0.0,16.3,Low,medium
Fann Street,unclassified,3,1.3,32,0.0,0.0,1.0,0.67,0.0,0.67,0.0,16.3,Low,medium
Circus Place,unclassified,3,1.3,32,0.67,0.0,1.0,0.67,0.0,0.67,0.0,16.3,Low,medium
Savona Street,unclassified,3,1.3,40,0.0,0.0,1.0,0.67,0.0,0.67,1.0,16.3,Low,low
Upper Montagu Street,unclassified,5,1.2,32,0.0,0.0,1.0,0.8,0.0,0.8,0.0,16.2,Low,medium
West Smithfield,residential,23,1.3,32,0.87,0.17,1.0,0.0,0.0,0.87,0.0,16.2,Low,medium
Bidborough Street,unclassified,5,1.2,32,0.8,0.0,1.0,0.4,0.0,0.4,0.0,16.2,Low,medium
Sussex Place,unclassified,8,1.2,32,0.12,0.0,1.0,0.38,0.0,0.75,0.0,16.2,Low,medium
Arlington Square,residential,4,2.0,32,0.0,0.0,1.0,0.75,0.0,0.0,0.0,16.2,Low,high
Great Percy Street,unclassified,7,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.1,Low,high
Cringle Street,unclassified,7,1.6,40,0.43,0.0,1.0,0.29,0.0,0.43,1.0,16.1,Low,low
Station Approach Road,unclassified,15,1.1,32,0.93,0.4,1.0,0.07,0.0,0.27,0.0,16.1,Low,medium
Cross Street,unclassified,3,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,Low,high
Canonbury Square,residential,7,1.4,32,0.43,0.0,1.0,0.57,0.0,0.86,0.0,16.0,Low,medium
Herbal Hill,unclassified,1,1.0,32,1.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Gower Place,unclassified,1,1.0,32,1.0,0.0,1.0,1.0,0.0,0.0,0.0,16.0,Low,high
Sutherland Street,residential,1,1.0,32,0.0,1.0,1.0,0.0,0.0,1.0,0.0,16.0,Low,medium
Great St. Thomas Apostle,unclassified,1,1.0,32,1.0,0.0,1.0,1.0,0.0,0.0,0.0,16.0,Low,high
Surrey Lane,residential,2,1.0,32,0.5,1.0,1.0,0.0,0.0,1.0,0.0,16.0,Low,medium
Bainbridge Street,unclassified,1,1.0,32,1.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Burleigh Street,unclassified,2,1.0,32,0.5,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Stratton Street,residential,3,1.0,32,1.0,1.0,1.0,0.0,0.0,1.0,0.0,16.0,Low,medium
New North Street,unclassified,1,1.0,32,0.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Exton Street,unclassified,1,1.0,32,0.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
St Mary's Gardens,residential,3,2.0,32,0.0,0.0,1.0,0.67,0.0,0.0,0.0,16.0,Low,high
Emerson Street,unclassified,1,1.0,32,0.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Britton Street,unclassified,2,1.0,32,0.5,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Epworth Street,unclassified,1,1.0,32,1.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Albion Place,unclassified,1,1.0,32,0.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Berners Street,unclassified,2,1.0,32,1.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Kirby Street,unclassified,1,1.0,32,1.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
D'Arblay Street,unclassified,2,1.0,32,1.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
St. Giles Passage,unclassified,2,1.0,32,0.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Mill Street,unclassified,1,1.0,32,1.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Hay Hill,unclassified,1,1.0,32,1.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
New Burlington Street,unclassified,2,1.0,32,1.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Pudding Lane,unclassified,1,1.0,32,0.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
